16:44:04: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 49] Logger initialized
16:44:14: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 0.9090909090909091, 0.0)
16:44:14: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:15: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.8695652173913043, 0.0, 0.0)
16:44:15: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:15: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.8333333333333334, 0.0, 0.0)
16:44:15: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:16: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.8, 0.0, 0.0)
16:44:16: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:16: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, -0.7692307692307693, 0.0)
16:44:16: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:17: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, -0.7407407407407407, 0.0)
16:44:17: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:17: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, -0.7142857142857143, 0.0)
16:44:17: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:18: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (-0.6896551724137931, 0.0, 0.0)
16:44:18: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:18: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (-0.6666666666666666, 0.0, 0.0)
16:44:18: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:19: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (-0.6451612903225806, 0.0, 0.0)
16:44:19: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
